,discount,buying_mode,query,installment_quantity,installment_rate,has_msi,msi,days_until_discount_end,condition,brand,free_shipping,store_pick_up,price,domain_id,sold_quantity,initial_quantity,available_quantity,is_official_store,listing_type_id
0,18.87421383647799,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,False,False,12899.0,MLM-TELEVISIONS,300,350,50,True,gold_special
1,32.00426723563142,buy_it_now,televisor%204k,15,0.0,True,15,2,new,Onn.,True,False,5099.0,MLM-TELEVISIONS,444,544,100,True,gold_pro
2,28.485576923076923,buy_it_now,televisor%204k,24,45.03,False,1,3,new,Samsung,True,False,5950.0,MLM-TELEVISIONS,3028,3029,1,True,gold_special
3,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Samsung,True,False,8270.0,MLM-TELEVISIONS,112,113,1,False,gold_pro
4,29.386343993085568,buy_it_now,televisor%204k,24,45.03,False,1,3,new,Samsung,True,False,8170.0,MLM-TELEVISIONS,2483,2533,50,True,gold_special
5,28.999999999999996,buy_it_now,televisor%204k,15,0.0,True,15,21,new,LG,True,False,4191.84,MLM-TELEVISIONS,52,53,1,False,gold_pro
6,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Hisense,True,False,6499.0,MLM-TELEVISIONS,18,19,1,True,gold_special
7,25.913017123806636,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Onn.,True,False,4889.0,MLM-TELEVISIONS,1993,2043,50,True,gold_pro
8,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Sony,True,False,13509.0,MLM-TELEVISIONS,26,27,1,True,gold_pro
9,21.669949992423092,buy_it_now,televisor%204k,15,0.0,True,15,2,new,Hisense,True,False,5169.0,MLM-TELEVISIONS,35,36,1,True,gold_pro
10,35.0,buy_it_now,televisor%204k,15,0.0,True,15,3,new,TCL,True,False,5849.35,MLM-TELEVISIONS,1177,1178,1,True,gold_pro
11,25.0,buy_it_now,televisor%204k,24,45.03,False,1,3,new,Sansui,True,False,5999.25,MLM-TELEVISIONS,543,544,1,True,gold_special
12,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,7999.0,MLM-TELEVISIONS,1,2,1,False,gold_special
13,17.27338129496403,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,11499.0,MLM-TELEVISIONS,34,35,1,True,gold_special
14,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Hyundai,True,False,6609.0,MLM-TELEVISIONS,21,22,1,False,gold_pro
15,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,10999.0,MLM-TELEVISIONS,22,23,1,True,gold_special
16,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,10151.0,MLM-TELEVISIONS,12,13,1,False,gold_special
17,8.751093886735841,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,7299.0,MLM-TELEVISIONS,54,104,50,True,gold_special
18,15.000000000000005,buy_it_now,televisor%204k,15,0.0,True,15,3,new,TCL,True,False,7649.15,MLM-TELEVISIONS,205,206,1,True,gold_pro
19,28.000000000000004,buy_it_now,televisor%204k,15,0.0,True,15,3,new,Onn.,False,False,6479.28,MLM-TELEVISIONS,137,138,1,True,gold_pro
20,30.43777751110044,buy_it_now,televisor%204k,15,0.0,True,15,9,new,Hisense,False,False,17389.86,MLM-TELEVISIONS,65,66,1,True,gold_pro
21,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Sony,True,False,11549.0,MLM-TELEVISIONS,9,10,1,True,gold_pro
22,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Samsung,True,False,6700.0,MLM-TELEVISIONS,5,6,1,False,gold_pro
23,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Hyundai,True,False,6549.0,MLM-TELEVISIONS,29,30,1,False,gold_special
24,29.251828239264952,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Hisense,False,False,11319.0,MLM-TELEVISIONS,19,20,1,True,gold_pro
25,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Samsung,False,False,8000.0,MLM-TELEVISIONS,0,1,1,False,gold_pro
26,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Hyundai,True,False,9699.0,MLM-TELEVISIONS,0,1,1,False,gold_pro
27,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Samsung,True,False,16299.0,MLM-TELEVISIONS,0,1,1,False,gold_pro
28,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Samsung,True,False,7999.0,MLM-TELEVISIONS,77,78,1,True,gold_special
29,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Hisense,True,False,8069.0,MLM-TELEVISIONS,3,4,1,False,gold_pro
30,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Sony,True,False,29899.0,MLM-TELEVISIONS,14,15,1,True,gold_pro
31,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Hyundai,True,False,9709.0,MLM-TELEVISIONS,9,10,1,False,gold_special
32,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Sony,True,False,17929.0,MLM-TELEVISIONS,10,11,1,True,gold_pro
33,0.0,buy_it_now,televisor%204k,24,45.03,False,1,0,new,Hisense,True,False,12599.0,MLM-TELEVISIONS,29,30,1,False,gold_special
34,0.0,buy_it_now,televisor%204k,15,0.0,True,15,0,new,Sony,True,False,15399.0,MLM-TELEVISIONS,7,8,1,True,gold_pro
